Freq (GHz), S11 Mag (dB), S11 Phase (deg), S12 Mag (dB), S12 Phase (deg), S21 Mag (dB), S21 Phase (deg), S22 Mag (dB), S22 Phase (deg)
1.308507462686565814e+00,-6.103515999999999941e+00,6.855468999999999369e+01,-2.337108999999999881e+01,-3.384960999999999842e+01,-2.325975999999999999e+01,-5.816405999999999921e+01,-4.855957000000000079e+00,2.987402000000000157e+01
1.318457711442784674e+00,-6.071776999999999980e+00,4.874217999999999762e+01,-2.333594000000000079e+01,-4.754102000000000317e+01,-2.320410000000000039e+01,-7.167186999999999841e+01,-4.889892999999999823e+00,2.206542999999999921e+01
1.328407960199003535e+00,-5.994140999999999941e+00,2.895019999999999882e+01,-2.323436999999999841e+01,-6.086328000000000316e+01,-2.312108999999999881e+01,-8.536718000000000472e+01,-4.905762000000000178e+00,1.448779000000000039e+01
1.338358208955222395e+00,-5.916260000000000296e+00,1.008643000000000001e+01,-2.317186999999999841e+01,-7.338281000000000631e+01,-2.299315999999999960e+01,-9.850388999999999839e+01,-4.971435999999999744e+00,6.825194999999999901e+00
1.348308457711441255e+00,-5.918457000000000079e+00,-8.665527000000000868e+00,-2.297655999999999921e+01,-8.667578000000000316e+01,-2.294434000000000040e+01,-1.114882999999999953e+02,-4.929931999999999981e+00,-1.242858999999999936e+00
1.358258706467660115e+00,-5.871094000000000257e+00,-2.728221999999999881e+01,-2.281152000000000157e+01,-9.993750000000000000e+01,-2.276367000000000118e+01,-1.246367000000000047e+02,-4.993164000000000158e+00,-8.485839999999999606e+00
1.368208955223878975e+00,-5.855224999999999902e+00,-4.552342999999999762e+01,-2.259082000000000079e+01,-1.126641000000000048e+02,-2.259375000000000000e+01,-1.377656000000000063e+02,-5.021484000000000059e+00,-1.647070000000000078e+01
1.378159203980097836e+00,-5.901610999999999940e+00,-6.366210999999999842e+01,-2.231250000000000000e+01,-1.261835999999999984e+02,-2.237304999999999922e+01,-1.505937999999999874e+02,-5.059326000000000434e+00,-2.426757999999999882e+01
1.388109452736316696e+00,-5.866210999999999842e+00,-8.250391000000000474e+01,-2.209472999999999843e+01,-1.397734000000000094e+02,-2.215527000000000157e+01,-1.639687999999999874e+02,-5.047607000000000177e+00,-3.174315999999999960e+01
1.398059701492535556e+00,-5.948485999999999940e+00,-1.013789000000000016e+02,-2.178125000000000000e+01,-1.534843999999999937e+02,-2.181933000000000078e+01,-1.773125000000000000e+02,-5.034180000000000099e+00,-3.946484000000000236e+01
1.408009950248754416e+00,-5.950439000000000256e+00,-1.206093999999999937e+02,-2.151172000000000040e+01,-1.676328000000000031e+02,-2.150488000000000000e+01,1.690781000000000063e+02,-5.041260000000000296e+00,-4.710546000000000078e+01
1.417960199004973276e+00,-6.078125000000000000e+00,-1.409140999999999906e+02,-2.128320000000000078e+01,1.783437000000000126e+02,-2.118652000000000157e+01,1.549375000000000000e+02,-5.041991999999999585e+00,-5.500000000000000000e+01
1.427910447761192136e+00,-6.128417999999999921e+00,-1.615703000000000031e+02,-2.101952999999999960e+01,1.640234000000000094e+02,-2.088183000000000078e+01,1.406406000000000063e+02,-5.000000000000000000e+00,-6.274414000000000158e+01
1.437860696517410997e+00,-6.249023000000000216e+00,1.771093999999999937e+02,-2.080273000000000039e+01,1.496250000000000000e+02,-2.059960999999999842e+01,1.261600999999999999e+02,-5.020264000000000060e+00,-7.053515000000000157e+01
1.447810945273629857e+00,-6.343017999999999823e+00,1.555078000000000031e+02,-2.063476999999999961e+01,1.353437000000000126e+02,-2.036719000000000079e+01,1.111055000000000064e+02,-4.956298999999999566e+00,-7.822266000000000474e+01
1.457761194029848717e+00,-6.425292999999999921e+00,1.333828000000000031e+02,-2.043358999999999881e+01,1.211757999999999953e+02,-2.021777000000000157e+01,9.630468000000000472e+01,-4.947021000000000335e+00,-8.614843000000000472e+01
1.467711442786067577e+00,-6.427489999999999704e+00,1.115819999999999936e+02,-2.026660000000000039e+01,1.065350999999999999e+02,-2.001172000000000040e+01,8.179688000000000159e+01,-4.886474999999999902e+00,-9.428513999999999839e+01
1.477661691542286437e+00,-6.487792999999999921e+00,9.012109999999999843e+01,-2.019823999999999842e+01,9.243750000000000000e+01,-1.993554999999999922e+01,6.708983999999999526e+01,-4.841553000000000218e+00,-1.022147999999999968e+02
1.487611940298505298e+00,-6.387207000000000079e+00,6.990233999999999526e+01,-1.992382999999999882e+01,7.896873999999999683e+01,-1.980858999999999881e+01,5.335546000000000078e+01,-4.695068000000000019e+00,-1.098867000000000047e+02
1.497562189054724158e+00,-6.353760000000000296e+00,4.943164000000000158e+01,-1.974608999999999881e+01,6.457031000000000631e+01,-1.970507999999999882e+01,3.912890000000000157e+01,-4.652099999999999902e+00,-1.174766000000000048e+02
1.507512437810943018e+00,-6.311278999999999861e+00,2.996582000000000079e+01,-1.957519999999999882e+01,5.082225999999999999e+01,-1.954686999999999841e+01,2.514551000000000158e+01,-4.639892999999999823e+00,-1.257813000000000017e+02
1.517462686567161878e+00,-6.193603999999999665e+00,1.069092000000000020e+01,-1.940137000000000000e+01,3.664453000000000316e+01,-1.945313000000000159e+01,1.120166000000000039e+01,-4.614989999999999704e+00,-1.341250000000000000e+02
1.527412935323380738e+00,-6.098633000000000415e+00,-8.333496000000000237e+00,-1.920117000000000118e+01,2.280176000000000158e+01,-1.927440999999999960e+01,-2.267333999999999961e+00,-4.625732000000000177e+00,-1.422734000000000094e+02
1.537363184079599598e+00,-6.045410000000000394e+00,-2.740820000000000078e+01,-1.900488000000000000e+01,8.705078000000000316e+00,-1.907910000000000039e+01,-1.594970999999999961e+01,-4.621337999999999724e+00,-1.501328000000000031e+02
1.547313432835818459e+00,-5.960693000000000019e+00,-4.625000000000000000e+01,-1.880469000000000079e+01,-5.568848000000000020e+00,-1.886914000000000158e+01,-2.985351999999999961e+01,-4.607421999999999684e+00,-1.582968999999999937e+02
1.557263681592037319e+00,-5.920898000000000216e+00,-6.566795999999999367e+01,-1.859766000000000119e+01,-1.989648000000000039e+01,-1.862500000000000000e+01,-4.417772999999999683e+01,-4.619385000000000296e+00,-1.663906000000000063e+02
1.567213930348256179e+00,-5.957030999999999743e+00,-8.531641000000000474e+01,-1.839844000000000079e+01,-3.446875000000000000e+01,-1.838768999999999920e+01,-5.859570000000000078e+01,-4.649169999999999803e+00,-1.740625000000000000e+02
1.577164179104475039e+00,-6.031005999999999645e+00,-1.061561999999999983e+02,-1.816308000000000078e+01,-4.918750000000000000e+01,-1.816894999999999882e+01,-7.295703000000000316e+01,-4.669678000000000218e+00,1.780546999999999969e+02
1.587114427860693899e+00,-6.223389000000000060e+00,-1.275664000000000016e+02,-1.806250000000000000e+01,-6.376366999999999763e+01,-1.793065999999999960e+01,-8.765625000000000000e+01,-4.770508000000000415e+00,1.704296999999999969e+02
1.597064676616912759e+00,-6.419189000000000256e+00,-1.493359000000000094e+02,-1.787890000000000157e+01,-7.864061999999999841e+01,-1.784277000000000157e+01,-1.028436999999999983e+02,-4.809569999999999901e+00,1.628593999999999937e+02
1.607014925373131620e+00,-6.624512000000000178e+00,-1.719921999999999969e+02,-1.784570000000000078e+01,-9.333593000000000472e+01,-1.775488000000000000e+01,-1.177225999999999999e+02,-4.827392999999999823e+00,1.552109000000000094e+02
1.616965174129350480e+00,-6.781005999999999645e+00,1.650312000000000126e+02,-1.769823999999999842e+01,-1.078906000000000063e+02,-1.768262000000000000e+01,-1.321562999999999874e+02,-4.894775000000000098e+00,1.478593999999999937e+02
1.626915422885569340e+00,-6.917235999999999940e+00,1.422343999999999937e+02,-1.770605000000000118e+01,-1.223710999999999984e+02,-1.763184000000000040e+01,-1.466328000000000031e+02,-4.933349999999999902e+00,1.405312999999999874e+02
1.636865671641788200e+00,-6.915282999999999625e+00,1.192108999999999952e+02,-1.761523000000000039e+01,-1.367578000000000031e+02,-1.762304999999999922e+01,-1.611406000000000063e+02,-4.980957000000000079e+00,1.331015999999999906e+02
1.646815920398007060e+00,-6.946289000000000158e+00,9.722265000000000157e+01,-1.761620999999999881e+01,-1.507343999999999937e+02,-1.760350999999999999e+01,-1.751640999999999906e+02,-4.974609000000000059e+00,1.258750000000000000e+02
1.656766169154225921e+00,-6.658691000000000138e+00,7.547656000000000631e+01,-1.759472999999999843e+01,-1.648984000000000094e+02,-1.756542999999999921e+01,1.709921999999999969e+02,-4.994628999999999763e+00,1.187811999999999983e+02
1.666716417910444781e+00,-6.503417999999999921e+00,5.446484000000000236e+01,-1.754297000000000040e+01,-1.785078000000000031e+02,-1.754004000000000119e+01,1.574218999999999937e+02,-5.068359000000000059e+00,1.115039000000000016e+02
1.676666666666663641e+00,-6.301758000000000415e+00,3.482030999999999921e+01,-1.751561999999999841e+01,1.679375000000000000e+02,-1.744629000000000119e+01,1.440312000000000126e+02,-5.017578000000000316e+00,1.044805000000000064e+02
1.686616915422882501e+00,-6.055907999999999625e+00,1.570898000000000039e+01,-1.745117000000000118e+01,1.548046999999999969e+02,-1.735547000000000040e+01,1.307343999999999937e+02,-5.004150000000000098e+00,9.716406000000000631e+01
1.696567164179101361e+00,-5.891601999999999784e+00,-2.632690000000000197e+00,-1.737012000000000000e+01,1.414453000000000031e+02,-1.722948999999999842e+01,1.174141000000000048e+02,-4.982421999999999684e+00,9.010545999999999367e+01
1.706517412935320221e+00,-5.715087999999999724e+00,-2.053027000000000157e+01,-1.722460999999999842e+01,1.286484000000000094e+02,-1.710839999999999961e+01,1.040781000000000063e+02,-5.069580000000000197e+00,8.231248999999999683e+01
1.716467661691539082e+00,-5.686278999999999861e+00,-3.791015999999999764e+01,-1.708887000000000000e+01,1.156289000000000016e+02,-1.696582000000000079e+01,9.050390000000000157e+01,-4.999512000000000178e+00,7.481640000000000157e+01
1.726417910447757942e+00,-5.692139000000000060e+00,-5.508594000000000079e+01,-1.690527000000000157e+01,1.027382999999999953e+02,-1.677929999999999922e+01,7.752343000000000472e+01,-5.018798999999999566e+00,6.717578000000000316e+01
1.736368159203976802e+00,-5.726562999999999626e+00,-7.229296999999999684e+01,-1.662207000000000079e+01,8.951171999999999684e+01,-1.657617000000000118e+01,6.442576999999999998e+01,-4.998535000000000394e+00,5.974022999999999683e+01
1.746318407960195662e+00,-5.864014000000000060e+00,-8.909373999999999683e+01,-1.636914000000000158e+01,7.645311999999999841e+01,-1.632617000000000118e+01,5.146092999999999762e+01,-4.953369000000000355e+00,5.196679000000000315e+01
1.756268656716414522e+00,-6.079346000000000139e+00,-1.060000000000000000e+02,-1.598241999999999940e+01,6.306835000000000235e+01,-1.604980000000000118e+01,3.795897999999999683e+01,-4.940430000000000099e+00,4.405662999999999840e+01
1.766218905472633383e+00,-6.270996000000000237e+00,-1.237031000000000063e+02,-1.566309000000000040e+01,4.969727000000000317e+01,-1.577685999999999922e+01,2.509375000000000000e+01,-5.044433999999999862e+00,3.595508000000000237e+01
1.776169154228852243e+00,-6.590576000000000434e+00,-1.416796999999999969e+02,-1.529101999999999961e+01,3.581835999999999842e+01,-1.539746000000000059e+01,1.158643000000000001e+01,-4.992431999999999981e+00,2.754492000000000118e+01
1.786119402985071103e+00,-6.862792999999999921e+00,-1.608046999999999969e+02,-1.490282999999999980e+01,2.193652000000000157e+01,-1.501366999999999940e+01,-2.112182999999999922e+00,-5.070312999999999626e+00,1.958105000000000118e+01
1.796069651741289963e+00,-7.202880999999999645e+00,1.790468999999999937e+02,-1.448925999999999981e+01,7.694335999999999842e+00,-1.461963000000000079e+01,-1.610351999999999961e+01,-5.120360999999999940e+00,1.135693000000000019e+01
1.806019900497508823e+00,-7.441405999999999743e+00,1.575546999999999969e+02,-1.408643000000000001e+01,-7.100098000000000020e+00,-1.418554999999999922e+01,-3.067870999999999881e+01,-5.201416000000000039e+00,3.221680000000000099e+00
1.815970149253727683e+00,-7.690430000000000099e+00,1.347812000000000126e+02,-1.373827999999999960e+01,-2.211327999999999960e+01,-1.376416000000000039e+01,-4.570897999999999683e+01,-5.247069999999999901e+00,-5.187012000000000178e+00
1.825920398009946544e+00,-7.772705000000000197e+00,1.107617000000000047e+02,-1.338184000000000040e+01,-3.764061999999999841e+01,-1.336475000000000080e+01,-6.095703000000000316e+01,-5.381835999999999842e+00,-1.339550999999999981e+01
1.835870646766165404e+00,-7.806885000000000296e+00,8.653515000000000157e+01,-1.307764000000000060e+01,-5.317576999999999998e+01,-1.305518000000000001e+01,-7.661718000000000472e+01,-5.466796999999999684e+00,-2.147754000000000119e+01
1.845820895522384264e+00,-7.782226999999999784e+00,6.236717999999999762e+01,-1.286279000000000039e+01,-6.867578000000000316e+01,-1.287157999999999980e+01,-9.257420999999999367e+01,-5.562500000000000000e+00,-2.957030999999999921e+01
1.855771144278603124e+00,-7.686767999999999823e+00,3.851758000000000237e+01,-1.270166000000000039e+01,-8.440623999999999683e+01,-1.261621000000000059e+01,-1.084882999999999953e+02,-5.634521000000000335e+00,-3.765039000000000158e+01
1.865721393034821984e+00,-7.588378999999999763e+00,1.597411999999999921e+01,-1.257030999999999921e+01,-1.000039000000000016e+02,-1.252782999999999980e+01,-1.242891000000000048e+02,-5.706298999999999566e+00,-4.591210000000000235e+01
1.875671641791040845e+00,-7.495849999999999902e+00,-5.626464999999999606e+00,-1.249657999999999980e+01,-1.149296999999999969e+02,-1.246387000000000000e+01,-1.392265999999999906e+02,-5.789306999999999981e+00,-5.398828000000000316e+01
1.885621890547259705e+00,-7.439453000000000316e+00,-2.614551000000000158e+01,-1.241553000000000040e+01,-1.296406000000000063e+02,-1.238720999999999961e+01,-1.537812000000000126e+02,-5.851318000000000019e+00,-6.230859000000000236e+01
1.895572139303478565e+00,-7.472900000000000098e+00,-4.579883000000000237e+01,-1.232274999999999920e+01,-1.443437999999999874e+02,-1.228711000000000020e+01,-1.684921999999999969e+02,-5.934082000000000079e+00,-7.064453000000000316e+01
1.905522388059697425e+00,-7.517578000000000316e+00,-6.469531000000000631e+01,-1.219922000000000040e+01,-1.586406000000000063e+02,-1.216455000000000020e+01,1.773828000000000031e+02,-5.975585999999999842e+00,-7.906250000000000000e+01
1.915472636815916285e+00,-7.632323999999999664e+00,-8.299218999999999369e+01,-1.201952999999999960e+01,-1.727656000000000063e+02,-1.201514000000000060e+01,1.633125000000000000e+02,-6.062255999999999645e+00,-8.725000000000000000e+01
1.925422885572135145e+00,-7.833251999999999882e+00,-1.015897999999999968e+02,-1.180321999999999960e+01,1.731171999999999969e+02,-1.180419999999999980e+01,1.491015999999999906e+02,-6.176269999999999705e+00,-9.592968000000000472e+01
1.935373134328354006e+00,-8.094238000000000710e+00,-1.208750000000000000e+02,-1.154149999999999920e+01,1.588671999999999969e+02,-1.152440999999999960e+01,1.346093999999999937e+02,-6.253173999999999566e+00,-1.043164000000000016e+02
1.945323383084572866e+00,-8.425781000000000631e+00,-1.415156000000000063e+02,-1.127588000000000079e+01,1.443203000000000031e+02,-1.122167999999999921e+01,1.200194999999999936e+02,-6.283203000000000316e+00,-1.126875000000000000e+02
1.955273631840791726e+00,-8.866210999999999842e+00,-1.632812999999999874e+02,-1.089306999999999981e+01,1.293125000000000000e+02,-1.089893000000000001e+01,1.049414000000000016e+02,-6.473389000000000060e+00,-1.211444999999999936e+02
1.965223880597010586e+00,-9.337402000000000868e+00,1.730859000000000094e+02,-1.050488000000000000e+01,1.138515000000000015e+02,-1.061571999999999960e+01,8.986718999999999369e+01,-6.550048999999999566e+00,-1.289453000000000031e+02
1.975174129353229446e+00,-9.838378999999999763e+00,1.473437999999999874e+02,-1.024560999999999922e+01,9.789063000000000159e+01,-1.027294999999999980e+01,7.313281000000000631e+01,-6.694580000000000197e+00,-1.366875000000000000e+02
1.985124378109448307e+00,-1.022314000000000078e+01,1.198632999999999953e+02,-1.000098000000000020e+01,8.178905000000000314e+01,-1.015526999999999980e+01,5.707811999999999841e+01,-6.826660000000000394e+00,-1.443437999999999874e+02
1.995074626865667167e+00,-1.041895000000000060e+01,9.104295999999999367e+01,-9.846679999999999211e+00,6.507030000000000314e+01,-9.998046999999999684e+00,4.100975999999999999e+01,-6.836669999999999803e+00,-1.513828000000000031e+02
2.005024875621886249e+00,-1.035985999999999940e+01,6.243359000000000236e+01,-9.784667999999999921e+00,4.838085000000000235e+01,-9.974121000000000237e+00,2.457910000000000039e+01,-6.782714999999999606e+00,-1.588515999999999906e+02
2.014975124378105331e+00,-1.007178000000000040e+01,3.496484000000000236e+01,-9.834472999999999132e+00,3.160350999999999999e+01,-1.004735999999999940e+01,8.451171999999999684e+00,-6.675537000000000276e+00,-1.665078000000000031e+02
2.024925373134324413e+00,-9.605957000000000079e+00,9.695313000000000514e+00,-9.961914000000000158e+00,1.563184000000000040e+01,-1.013231999999999999e+01,-7.175537000000000276e+00,-6.590819999999999901e+00,-1.742656000000000063e+02
2.034875621890543496e+00,-9.117188000000000514e+00,-1.325684000000000040e+01,-1.011083999999999961e+01,3.982544000000000084e-01,-1.024463000000000079e+01,-2.213964999999999961e+01,-6.505126999999999882e+00,1.775859000000000094e+02
2.044825870646762578e+00,-8.650391000000000830e+00,-3.382813000000000159e+01,-1.026660000000000039e+01,-1.440625000000000000e+01,-1.035741999999999940e+01,-3.699609000000000236e+01,-6.399414000000000158e+00,1.690234000000000094e+02
2.054776119402981660e+00,-8.310546999999999684e+00,-5.268945000000000078e+01,-1.043604000000000021e+01,-2.869433000000000078e+01,-1.043310999999999922e+01,-5.121875000000000000e+01,-6.350830000000000197e+00,1.604843999999999937e+02
2.064726368159200742e+00,-8.003906000000000631e+00,-7.075390000000000157e+01,-1.054443000000000019e+01,-4.254883000000000237e+01,-1.050390999999999941e+01,-6.523828000000000316e+01,-6.356201000000000434e+00,1.516796999999999969e+02
2.074676616915419824e+00,-7.838378999999999763e+00,-8.777343999999999369e+01,-1.060205000000000020e+01,-5.614842999999999762e+01,-1.049463000000000079e+01,-7.871483999999999526e+01,-6.376708999999999961e+00,1.430312000000000126e+02
2.084626865671638907e+00,-7.715087999999999724e+00,-1.038555000000000064e+02,-1.056006000000000000e+01,-6.964453000000000316e+01,-1.048779000000000039e+01,-9.253906000000000631e+01,-6.462157999999999625e+00,1.343437000000000126e+02
2.094577114427857989e+00,-7.683837999999999724e+00,-1.200742000000000047e+02,-1.052881000000000000e+01,-8.257420999999999367e+01,-1.044678000000000040e+01,-1.060311999999999983e+02,-6.586181999999999981e+00,1.257539000000000016e+02
2.104527363184077071e+00,-7.772460999999999842e+00,-1.361328000000000031e+02,-1.042139000000000060e+01,-9.597656000000000631e+01,-1.027393000000000001e+01,-1.195897999999999968e+02,-6.734375000000000000e+00,1.169960999999999984e+02
2.114477611940296153e+00,-7.932373000000000118e+00,-1.522187000000000126e+02,-1.019336000000000020e+01,-1.093828000000000031e+02,-1.009814000000000078e+01,-1.326562000000000126e+02,-6.867431999999999981e+00,1.082265000000000015e+02
2.124427860696515236e+00,-8.199218999999999369e+00,-1.684296999999999969e+02,-9.989746000000000237e+00,-1.231367000000000047e+02,-9.929199000000000552e+00,-1.468281000000000063e+02,-7.044921999999999684e+00,1.001406000000000063e+02
2.134378109452734318e+00,-8.523438000000000514e+00,1.747578000000000031e+02,-9.749511999999999290e+00,-1.369531000000000063e+02,-9.702147999999999328e+00,-1.609531000000000063e+02,-7.306640999999999941e+00,9.201171999999999684e+01
2.144328358208953400e+00,-9.023438000000000514e+00,1.572812999999999874e+02,-9.414550999999999448e+00,-1.511875000000000000e+02,-9.434570000000000789e+00,-1.749218999999999937e+02,-7.555176000000000336e+00,8.404688000000000159e+01
2.154278606965172482e+00,-9.617675999999999448e+00,1.390312000000000126e+02,-9.123046999999999684e+00,-1.655625000000000000e+02,-9.161132999999999527e+00,1.709218999999999937e+02,-7.821532999999999625e+00,7.629686999999999841e+01
2.164228855721391565e+00,-1.029785000000000039e+01,1.196250000000000000e+02,-8.848145000000000593e+00,1.796953000000000031e+02,-8.890136999999999290e+00,1.562968999999999937e+02,-8.152832000000000079e+00,6.877733999999999526e+01
2.174179104477610647e+00,-1.105127000000000059e+01,9.931641000000000474e+01,-8.590820000000000789e+00,1.647187000000000126e+02,-8.614746000000000237e+00,1.414218999999999937e+02,-8.418945000000000789e+00,6.126758000000000237e+01
2.184129353233829729e+00,-1.198681999999999981e+01,7.727733999999999526e+01,-8.362792999999999921e+00,1.493671999999999969e+02,-8.339354999999999407e+00,1.263046999999999969e+02,-8.756835999999999842e+00,5.435936999999999841e+01
2.194079601990048811e+00,-1.289844000000000079e+01,5.349217999999999762e+01,-8.142089999999999606e+00,1.343281000000000063e+02,-8.142578000000000316e+00,1.111289000000000016e+02,-9.050292999999999921e+00,4.731250000000000000e+01
