Freq (Hz), Test Phi (deg), Test Theta (deg), Probe Phi (deg), S11 (db), S11 (deg), S12 (db), S12 (deg), S21 (db), S21 (deg), S22 (db), S22 (deg)
3.737000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.565967000000000020e+01,-1.665389999999999873e+02,-1.655565999999999960e+01,1.207460999999999984e+02,-1.680957000000000079e+01,8.219141000000000474e+01,-1.597119000000000000e+01,1.787734000000000094e+02
3.860000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.532616999999999940e+01,1.531406000000000063e+02,-1.598145000000000060e+01,5.044140000000000157e+01,-1.651855000000000118e+01,1.399219000000000079e+01,-1.578711000000000020e+01,8.288670999999999367e+01
3.983000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.505029000000000039e+01,1.146600999999999999e+02,-1.558984000000000059e+01,-2.246483999999999881e+01,-1.607422000000000040e+01,-5.587304000000000315e+01,-1.577929999999999922e+01,-1.808789000000000158e+01
4.106000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.470166000000000039e+01,7.500390000000000157e+01,-1.568262000000000000e+01,-9.510936999999999841e+01,-1.589258000000000060e+01,-1.261132999999999953e+02,-1.568994000000000000e+01,-1.178710999999999984e+02
4.229000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.470946999999999960e+01,3.283789000000000158e+01,-1.567871000000000059e+01,-1.639687999999999874e+02,-1.558984000000000059e+01,1.649687999999999874e+02,-1.537695000000000078e+01,1.484140999999999906e+02
4.352000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.518115000000000059e+01,-8.281250000000000000e+00,-1.532666000000000039e+01,1.268397999999999968e+02,-1.504979999999999940e+01,9.469530000000000314e+01,-1.549219000000000079e+01,5.103515999999999764e+01
4.475000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.536327999999999960e+01,-4.769921000000000078e+01,-1.518115000000000059e+01,5.660741999999999763e+01,-1.476024999999999920e+01,2.314745999999999881e+01,-1.579003999999999941e+01,-5.464647999999999683e+01
4.598000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.517969000000000079e+01,-8.942576999999999998e+01,-1.484473000000000020e+01,-1.124609000000000059e+01,-1.455957000000000079e+01,-4.649804000000000315e+01,-1.536035000000000039e+01,-1.557656000000000063e+02
4.721000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.517529000000000039e+01,-1.323593999999999937e+02,-1.401318000000000019e+01,-8.089453000000000316e+01,-1.395312999999999981e+01,-1.167500000000000000e+02,-1.549268000000000001e+01,1.077578000000000031e+02
4.844000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.541405999999999921e+01,-1.738515999999999906e+02,-1.321729000000000021e+01,-1.529296999999999969e+02,-1.340869000000000000e+01,1.710625000000000000e+02,-1.644140000000000157e+01,6.396728999999999665e+00
4.967000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.559717000000000020e+01,1.456796999999999969e+02,-1.267969000000000079e+01,1.328828000000000031e+02,-1.315869000000000000e+01,9.830858000000000629e+01,-1.649315999999999960e+01,-9.950781000000000631e+01
5.090000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.595946999999999960e+01,1.048906000000000063e+02,-1.246338000000000079e+01,5.948631999999999920e+01,-1.293994000000000000e+01,2.703710999999999842e+01,-1.631347999999999843e+01,1.611250000000000000e+02
5.213000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.690137000000000000e+01,6.192576999999999998e+01,-1.217139000000000060e+01,-1.290234000000000059e+01,-1.242871000000000059e+01,-4.372655999999999921e+01,-1.768652000000000157e+01,6.255664000000000158e+01
5.336000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.885839999999999961e+01,2.362304999999999922e+01,-1.167577999999999960e+01,-8.702343000000000472e+01,-1.176416000000000039e+01,-1.172382999999999953e+02,-1.988476999999999961e+01,-4.675390000000000157e+01
5.459000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.966698999999999842e+01,-1.473827999999999960e+01,-1.163720999999999961e+01,-1.615937000000000126e+02,-1.148729999999999940e+01,1.677734000000000094e+02,-2.065039000000000158e+01,-1.487500000000000000e+02
5.582000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-2.293164000000000158e+01,-7.737890000000000157e+01,-1.134032999999999980e+01,1.263046999999999969e+02,-1.113231999999999999e+01,9.437500000000000000e+01,-2.222070000000000078e+01,1.270664000000000016e+02
5.705000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-4.257813000000000159e+01,-1.402265999999999906e+02,-1.082958999999999961e+01,5.028125000000000000e+01,-1.069434000000000040e+01,1.809570000000000078e+01,-2.975488000000000000e+01,5.848633000000000237e+01
5.828000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-3.114061999999999841e+01,-2.297607000000000177e+00,-1.065526999999999980e+01,-2.706835999999999842e+01,-1.057812999999999981e+01,-5.934765000000000157e+01,-3.057518999999999920e+01,6.516406000000000631e+01
5.951000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-2.271094000000000079e+01,-3.601171000000000078e+01,-1.086815999999999960e+01,-1.051600999999999999e+02,-1.070020000000000060e+01,-1.374765999999999906e+02,-2.337695000000000078e+01,-3.955664000000000158e+01
6.074000000000000000e+08,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-1.764061999999999841e+01,-8.814061999999999841e+01,-1.140137000000000000e+01,1.777656000000000063e+02,-1.122606999999999999e+01,1.449375000000000000e+02,-1.760058000000000078e+01,-1.473750000000000000e+02
